J,-1,-1
B,9,9
B,-1,-1
W,9,8
W,8,9
B,10,8
B,10,7
W,10,9
W,11,7
B,7,11
B,8,10
W,6,12
W,11,10
B,7,6
B,7,7
W,11,8
W,11,9
B,11,12
B,11,6
W,9,10
W,8,11
B,12,7
B,7,12
W,12,11
W,13,12
B,14,13
B,8,7
W,7,8
W,6,7
B,5,6
B,6,6
W,8,6
W,8,8
B,9,4
B,10,5
W,8,3
W,13,8
B,8,5
B,10,3
W,11,2
W,10,4
B,7,5
B,9,5
W,11,5
W,6,5
B,5,7
B,4,8
W,3,9
W,8,4
B,6,10
B,5,9
W,8,12
W,3,7
B,5,8
B,4,6
W,5,5
W,5,10
B,3,6
B,2,6
V,-1,-1
